plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
18.653207_82.811814,KORAPUT,KHARAGUDA,,78.0,10,1,1.0,1,10,6,6,6,6,6
18.653365_82.811206,KORAPUT,KHARAGUDA,,63.0,5,1,1.0,1,10,6,6,6,6,6
18.653369_82.81268,KORAPUT,SAKIAGUDA,,63.0,7,1,1.0,1,10,6,6,6,6,6
18.676799_82.963237,KORAPUT,BARAKANTI,,48.0,8,1,1.0,1,10,6,6,6,6,6
18.677433_82.964683,KORAPUT,BARAKANTI,,38.0,8,1,1.0,1,10,6,6,6,6,6
18.678063_82.960975,KORAPUT,BARAKANTI,,38.0,5,1,1.0,1,10,6,6,6,6,6
18.678762_82.958297,KORAPUT,BARAKANTI,,43.0,3,1,1.0,1,10,6,6,6,6,6
18.678843_82.963663,KORAPUT,BARAKANTI,,38.0,6,1,1.0,1,10,6,6,6,6,6
18.679113_82.96907,KORAPUT,BARAKANTI,,38.0,2,1,1.0,1,10,6,6,6,6,6
18.679282_82.97123,KORAPUT,BARAKANTI,,43.0,8,1,1.0,1,10,6,6,6,6,6
18.679754_82.975404,KORAPUT,BARAKANTI,,38.0,1,1,1.0,1,10,12,12,12,12,12
18.680077_82.962886,KORAPUT,BARAKANTI,,38.0,5,1,1.0,1,10,6,6,6,6,6
18.680447_82.973233,KORAPUT,BARAKANTI,,33.0,2,1,1.0,1,10,6,6,6,6,6
18.681063_82.964409,KORAPUT,BARAKANTI,,53.0,2,1,1.0,1,10,6,6,6,6,6
18.681071_82.975365,KORAPUT,BARAKANTI,,43.0,4,1,1.0,1,10,12,12,12,12,12
18.681102_82.975437,KORAPUT,BARAKANTI,,43.0,4,1,1.0,1,10,12,12,12,12,12
18.681326_82.957064,KORAPUT,BARAKANTI,,38.0,1,1,1.0,1,10,6,6,6,6,6
18.681329_82.960893,KORAPUT,BARAKANTI,,33.0,0,1,1.0,1,10,6,6,6,6,6
18.681538_82.974712,KORAPUT,BARAKANTI,,48.0,8,1,1.0,1,10,6,6,6,6,6
18.681742_82.961581,KORAPUT,BARAKANTI,,63.0,4,1,1.0,1,10,6,6,6,6,6
18.681765_82.962915,KORAPUT,BARAKANTI,,68.0,2,1,1.0,1,10,6,6,6,6,6
18.681858_82.963077,KORAPUT,BARAKANTI,,53.0,2,1,1.0,1,10,6,6,6,6,6
18.681878_82.962774,KORAPUT,BARAKANTI,,53.0,2,1,1.0,1,10,6,6,6,6,6
18.682446_82.965478,KORAPUT,BARAKANTI,,38.0,1,1,1.0,1,10,6,6,6,6,6
18.68257_82.965576,KORAPUT,BARAKANTI,,58.0,3,1,1.0,1,10,6,6,6,6,6
18.682588_82.96899,KORAPUT,BARAKANTI,,48.0,2,1,1.0,1,10,6,12,12,12,12
18.68293_82.957086,KORAPUT,BARAKANTI,,43.0,0,1,1.0,1,10,6,6,6,6,6
18.682982_82.96547,KORAPUT,BARAKANTI,,48.0,0,1,1.0,1,10,6,6,6,6,6
18.683549_82.961884,KORAPUT,BARAKANTI,,48.0,0,1,1.0,1,10,6,6,6,6,6
18.683884_82.961298,KORAPUT,BARAKANTI,,53.0,3,1,1.0,1,10,6,6,6,6,6
18.684793_82.959743,KORAPUT,BARAKANTI,,48.0,10,1,1.0,1,10,6,6,6,6,6
18.686431_82.9618,KORAPUT,BARAKANTI,,63.0,0,0,0.5680248618784529,1,30,6,6,11,11,11
18.686566_82.958633,KORAPUT,BARAKANTI,,58.0,0,1,1.0,1,10,6,6,6,6,6
18.69107_82.868956,KORAPUT,BARAKANTI,,53.0,1,0,0.0,1,50,1,1,1,1,1
20.621695_85.564537,DHENKANAL,MANGALPUR,,18.0,0,1,1.0,1,10,6,6,6,6,6
20.741885_84.698598,ANGUL,KANSAB,,53.0,2,1,1.0,1,10,6,6,6,6,6
20.742247_84.697628,ANGUL,KANSAB,,43.0,2,1,1.0,1,10,6,6,6,6,6
20.742487_84.696332,ANGUL,KANSAB,,38.0,1,1,1.0,1,10,6,6,6,6,6
20.743825_84.696419,ANGUL,KANSAB,,48.0,5,1,1.0,1,10,6,6,6,6,6
20.744313_84.694294,ANGUL,KANSAB,,38.0,1,1,1.0,1,10,6,6,6,6,6
20.744556_84.693554,ANGUL,KANSAB,,38.0,4,1,1.0,1,10,6,6,6,6,6
20.745076_84.695402,ANGUL,KANSAB,,53.0,2,1,1.0,1,10,6,6,6,6,6
20.745582_84.692273,ANGUL,KANSAB,,53.0,4,1,1.0,1,10,6,6,6,6,6
20.746348_84.694433,ANGUL,KANSAB,,58.0,2,1,1.0,1,10,6,6,6,6,6
20.747267_84.691992,ANGUL,KANSAB,,43.0,4,1,1.0,1,10,6,6,6,6,6
20.759342_84.70982,ANGUL,GHANAJODI,,38.0,4,1,1.0,1,10,6,6,6,6,6
20.760064_84.721146,ANGUL,GHANAJODI,,38.0,0,1,1.0,1,10,6,6,6,6,6
20.760492_84.717751,ANGUL,GHANAJODI,,43.0,0,1,1.0,1,10,6,6,6,6,6
20.761327_84.711584,ANGUL,GHANAJODI,,48.0,0,1,1.0,1,10,6,6,6,6,6
